Name,Type,Connect to,4G Router Quantity,5G Router Quantity Plan to be Install,IP ,Subnet ,CCTV Name,IP ,Subnet ,Latitude,Longitude,Commission?,Handover?,Site Photo
CNC MAN (Location 1),Indoor,,1,1,10.100.13.165,255.255.255.0,,,,3.05513,101.70245,FALSE,FALSE,
CNC MAN (Location 2),Indoor,,1,1,10.100.13.166,255.255.255.0,,,,3.05507,101.70196,FALSE,FALSE,
Stelar 1,Indoor,,1,1,10.100.13.175,255.255.255.0,,,,3.05552,101.7032,FALSE,FALSE,
Stelar 2,,,1,1,10.100.13.176,255.255.255.0,,,,3.05552,101.7032,FALSE,FALSE,
Petronas 1,Indoor,,1,1,10.100.23.155,255.255.255.0,,,,3.05643,101.70381,FALSE,FALSE,
T11,Outdoor,CNC MAN (Location 1),2 (only found 1 router),1,192.168.250.79,255.255.254.0,"FASA 2 - T11 HALA HUJUNG JALAN
FASA 2 - T11 DARI LALUAN FASA 1
FASA 2 - T11 HALA BRAVO 19","192.168.250.80
192.168.250.81
192.168.250.82",255.255.254.0,3.056183,101.6966,FALSE,FALSE,https://drive.google.com/drive/u/0/folders/1TZZ8sghaRGipadLRN4S2qjbn7pwUTbgO 
T12,Outdoor,CNC MAN (Location 2),2,2,192.168.250.85,255.255.254.0,"FASA 2 - T12 HALA BRAVO 19
FASA 2 - T12 DARI CORNER TNB","192.168.250.86
192.168.250.87",255.255.254.0,3.057057,101.700711,FALSE,FALSE,https://drive.google.com/drive/u/0/folders/1WU7uq2nJ_jTjlWHrKkjm52Le3YzOXb5T 
,,,,,192.168.250.91,255.255.254.0,FASA 2 - T12 DARI BULATAN APU,192.168.250.92,255.255.254.0,,,FALSE,FALSE,
T15 High,Outdoor,Stelar 1,2,1,192.168.250.109,255.255.254.0,"FASA 2 - T15 HALA SIMPANG ASTRO
FASA 2 - T15 DARI LALUAN MSK B18
","192.168.250.110
192.168.250.111",255.255.254.0,3.054946,101.700981,FALSE,FALSE,https://drive.google.com/drive/u/0/folders/11MX2-vslebDZqjcY8FzHFoAp6UgBXL41 
T15 Low,,Stelar 1,1,1,192.168.250.115,255.255.254.0,"FASA 2 - T15 HALA PINTU MSK APU
FASA 2 - T15 HALA LALUAN KLR B19","192.168.250.116
192.168.250.117",255.255.254.0,,,FALSE,FALSE,https://drive.google.com/drive/u/0/folders/1VbwCFHOUHHRjzEVn34X9u5ldW_-dloIs 
T16,Outdoor,Stelar 2,2 (only found 1 router),1,192.168.250.121,255.255.254.0,"FASA 2 - T16 DARI BULATAN APU
FASA 2 - T16 HALA ASTRO","192.168.250.122
192.168.250.123",255.255.254.0,3.052548,101.70127,FALSE,FALSE,https://drive.google.com/drive/u/0/folders/1vk4Y2awzbh3gfvfmt7TrdQ45h1GLG_NF 
T17,Outdoor,Petronas 1,2 (only found 1 router),1,192.168.250.127,255.255.254.0,"FASA 2 - T17 LALUAN BELAKANG PETRONAS
FASA 2 - T17 HALA PUMP MINYAK","192.168.250.128
192.168.250.129",255.255.254.0,3.056082,101.704119,FALSE,FALSE,
,,,,,,,,,,,,,,
Total ,,,,12,,,19,,,,,,,
,,,,,,,,,,,,,,
Indoor Router ,,,5,,,,,,,,,,,
Outdoor ,,,7,,,,,,,,,,,
