Name,Type,Connect to,4G Router Quantity,5G Router Quantity Plan to be Install,IP ,Subnet ,CCTV Number,IP ,Subnet ,Latitude,Longitude,Commission?,Handover?,Site Photo
B10,Indoor,,1,1,10.100.32.157,255.255.255.0,,,,3.04656,101.68552,FALSE,FALSE,
Petronas 2 (Location 1),Indoor,,1,1,10.100.50.155,255.255.255.0,,,,3.048751,101.679349,FALSE,FALSE,
Petronas 2 (Location 2),Indoor,,1,1,10.100.50.156,255.255.255.0,,,,3.048471,101.67981,FALSE,FALSE,
B11,Indoor,,1,1,10.100.32.158,255.255.255.0,,,,3.045228,101.673811,FALSE,FALSE,
T18,Outdoor,Petronas 2 (Location 2),1,1,192.168.250.133,255.255.254.0,"FASA 3 - T18 HALA SOLUTION
FASA 3 - T18 HALA BIC","192.168.250.134
192.168.250.135",255.255.254.0,3.045376,101.68432,FALSE,FALSE,https://drive.google.com/drive/folders/1AojPDZr_PLwJwXDaZJ2nokzyRqNZu8er?usp=drive_link
T19,Outdoor,B8,2,2,192.168.250.139,255.255.254.0,"FASA 3 - T19 HALA LALUAN MSK B8
FASA 3 - T19 HALA POST BRAVO 8","192.168.250.140
192.168.250.141",255.255.254.0,3.048654,101.680867,FALSE,FALSE,
,,,,,192.168.250.145,255.255.254.0,FASA 3 - T19 HALA SIMPANG B8,192.168.250.146,,,,FALSE,FALSE,
T20,Outdoor,B10,2,2,192.168.250.151,255.255.254.0,"FASA 3 - T20 HALA PAGAR
FASA 3 - T20 HALA LALUAN MASUK","192.168.250.152
192.168.250.153",255.255.254.0,3.048734,101.679028,FALSE,FALSE,
,,,,,192.168.250.157,255.255.254.0,FASA 3 - T20 HALA BRAVO 10,192.168.250.158,,,,FALSE,FALSE,
T21,Outdoor,B11,1,1,192.168.250.163,255.255.254.0,"FASA 3 - T21 LALUAN MASUK
FASA 3 - T21 DEPAN BRAVO 11
FASA 3 - T21 HALA PAGAR
FASA 3 - T21 HALA PINTU BRAVO 11","192.168.250.164
192.168.250.165
192.168.250.166
192.168.250.167",255.255.254.0,3.04523,101.673846,FALSE,FALSE,
T22,Outdoor,Petronas 2 (Location 2),2,1,192.168.250.169,255.255.254.0,"FASA 3 - T22 PUMP MINYAK
FASA 3 - T22 HALA PUMP ANGIN","192.168.250.170
192.168.250.171",255.255.254.0,3.048445,101.679813,FALSE,FALSE,
B8,Indoor,,1,1,10.100.32.159,255.255.255.0,,,,3.048719,101.68086,FALSE,FALSE,
,,,,,,,,,,,,,,
Total ,,,13,12,,,14,,,,,,,
,,,,,,,,,,,,,,
Indoor Router ,,,5,,,,,,,,,,,
Outdoor ,,,7,,,,,,,,,,,
